person_id,timestamp,longitude,latitude,substance,is_after_covid
id0y9do,1643639679,-112.40909566345074,34.4564821748517,,0
id0y9do,1643639681,-112.17955644505186,34.88076837233153,,0
id0y9do,1643639697,-111.60179069141716,34.599295817233816,,0
id0y9do,1643639714,-112.34911042470107,34.955632709539806,,0
id0y9do,1643639773,-113.09037953234093,34.687342555243966,,0
id0y9do,1643639780,-111.10057040947036,34.135006919986196,,0
id0y9do,1643639873,-112.29435363479084,34.07972547726168,cigarette,0
id0y9do,1643639931,-112.87968966408333,34.75908702373354,,0
id0y9do,1643639943,-112.971661517544,34.58033106685491,,0
id0y9do,1643639979,-112.01915211830557,33.965273209912596,,0
id0y9do,1643639987,-112.56995557825769,35.38647731952444,,0
id0y9do,1643639995,-112.87810603978266,34.885119656669964,,0
id0y9do,1643640033,-112.16654474596388,34.77979905054647,cigarette,0
id0y9do,1643640034,-111.85313542853014,34.541371831185344,cigarette,0
id0y9do,1643640046,-112.12242989407855,34.18231879290727,,0
id0y9do,1643640073,-112.50876857797695,34.95855532260379,cigarette,0
id0y9do,1643640105,-112.39183315304892,35.06222361550336,,0
id0y9do,1643640120,-112.51374898617685,33.87146183057804,cigarette,0
id0y9do,1643640123,-112.16659814172178,34.88233925809985,cigarette,0
id0y9do,1643640133,-112.57986439667462,34.20043972630199,,0
id0y9do,1643640139,-112.19322634453236,34.181488607075565,,0
id0y9do,1643640154,-111.82138281619456,35.06656076360105,,0
id0y9do,1643640167,-111.71592397406314,34.62675724740205,,0
id0y9do,1643640178,-112.58908277242969,35.26410667536939,,0
id0y9do,1643640195,-112.38132384977938,34.41813432646784,,0
id0y9do,1643640240,-111.8803549104149,34.44881545624607,,0
id0y9do,1643640255,-111.27729529917362,33.987632642010276,,0
id0y9do,1643640261,-112.03387388706412,34.873730461143296,,0
id0y9do,1643640264,-112.93734111332668,34.60984374761197,,0
id0y9do,1643640273,-112.6420164202902,34.9745756662814,,0
id0y9do,1643640296,-111.50897549059385,34.43875493927551,,0
id0y9do,1643640302,-111.9528439993942,34.51275638341119,cigarette,0
id0y9do,1643640329,-112.12785008154978,34.09394833981622,cigarette,0
id0y9do,1643640471,-112.83384328968563,34.296727317586544,,0
id0y9do,1643640472,-112.05594384219272,33.66546710337611,,0
id0y9do,1643640482,-111.77095324355257,33.95831710536631,,0
id0y9do,1643640506,-113.01592226737121,35.88765467358924,cigarette,0
id0y9do,1643640521,-113.11376924420865,35.37731477581694,cigarette,0
id0y9do,1643640531,-111.51545794723678,34.88664804528048,cigarette,0
id0y9do,1643640568,-112.2512239922203,34.82012710621505,cigarette,0
id0y9do,1643640568,-111.6786656164599,34.98727543078204,,0
id0y9do,1643640623,-112.29899465095127,34.196348064571865,,0
